axis,role,match_pct,n_match,n_topics_touched,top1_share_pct,top5_share_pct,outlier_pct,mean_max_prob
luxury_H3,target,0.7744,15302,371,4.59,17.17,0.58,0.5094
security_H4,target,2.8248,55817,373,8.34,21.1,0.58,0.5514
luxury_strict,target_strict,0.1255,2480,290,8.79,31.16,0.48,0.5062
security_strict,target_strict,0.5583,11031,371,13.77,22.09,0.5,0.5332
kissing_control,positive_control,2.2245,43956,368,15.89,53.49,0.31,0.6425
wedding_hea_control,positive_control,1.7496,34571,372,14.82,31.45,0.52,0.5402
possessive_control,positive_control,1.2376,24455,373,5.5,16.09,0.62,0.5497
spaceflight_negcontrol,negative_control,0.0204,403,155,6.98,22.19,0.5,0.4723
accounting_negcontrol,negative_control,0.0118,233,83,14.59,41.63,0.0,0.5086
