axis,role,topics_hit,topics_strong,topics_in_words,pct_topics_hit
luxury_H3,target,23,2,19,6.17
security_H4,target,105,9,49,28.15
kissing_control,positive_control,15,6,8,4.02
wedding_hea_control,positive_control,30,3,15,8.04
possessive_control,positive_control,22,2,13,5.9
spaceflight_negcontrol,negative_control,0,0,0,0.0
accounting_negcontrol,negative_control,0,0,0,0.0
