slide_id,annotation_id,target,text,emphasis,stage
S08,a01,RAX_emotional_reassurance,δ +0.14,main,2
S08,a02,RAX_tenderness_core,δ +0.13,main,3
S08,a03,RAX_appearance_grooming,δ −0.14,contrast,4
S08,a04,RAX_external_protection,1 topic only,caveat,5
S08,a05,gate,|δ| = 0.11,reference,1
S10,a01,callout,0 leaves cleared the effect gate on both outcomes,main,4
S06,a01,takeaway,Lexical similarity ≠ narrative function,main,3
