hypothesis,n_agree,n_total,agreement_pct,label,result_level,confirmatory_or_exploratory,table_source
H1,54,98,55.10204081632653,54/98 (55%),primary,methodological,/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/notebook_analysis/01_h1_intimacy_audit/tables/h1_lexical_contextual_agreement.parquet
H2,3,10,30.0,3/10 (30%),primary,methodological,/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/notebook_analysis/02_h2_hea_payoff_audit/tables/h2_lexical_contextual_agreement.parquet
H3,48,90,53.333333333333336,48/90 (53%),primary,methodological,/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/notebook_analysis/03_h3_security_material_audit/tables/h3_lexical_contextual_agreement.parquet
H4,24,71,33.80281690140845,24/71 (34%),primary,methodological,/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/notebook_analysis/04_h4_protection_possession_audit/tables/h4_lexical_contextual_agreement.parquet
H5,11,22,50.0,11/22 (50%),primary,methodological,/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/notebook_analysis/05_h5_darkness_tenderness_audit/tables/h5_lexical_contextual_agreement.parquet
H6,19,54,35.18518518518518,19/54 (35%),primary,methodological,/home/polina/Documents/Cursor_Projects/romantic_novels_large_corpus/results/stage11_refined_construct_analysis/v4_l12_granular_final_call49/notebook_analysis/06_h6_arc_semantics_audit/tables/h6_lexical_contextual_agreement.parquet
