feature,cliffs_delta,ci_low,ci_high,ci_excludes_zero,magnitude,mean_a,mean_b,median_a,median_b,hodges_lehmann_shift,n_a,n_b
DELTA_rising,-0.09802488113538055,-0.12061474913491652,-0.07619701523407776,True,negligible,0.005049426080550003,0.006916627039643016,0.004967983665040903,0.006834140589249884,-0.0018393561639725893,5086,5390
DELTA_falling,-0.08209673030188736,-0.10562053733301134,-0.06060240304608599,True,negligible,-0.00013018313014021704,0.0006313084852596495,-0.0002697266592509365,0.0004852502503522654,-0.0006967507839179231,5086,5390
RARC,-0.05268257948444455,-0.07568693244287311,-0.02860792239893134,True,negligible,0.00517960921069022,0.006285318554383366,0.004915257864660005,0.006006236057834384,-0.0010651089497253196,5086,5390
