protection_index,protection_col,z_danger_beta,z_danger_se,z_danger_p,z_protection_beta,z_protection_se,z_protection_p,z_danger_x_z_protection_beta,z_danger_x_z_protection_se,z_danger_x_z_protection_p
strict t119 only,EXP_enacted_protection_strict,0.0019823977916695683,0.0019145114474209694,0.3004546816916106,0.01688426823512947,0.002818946717137446,2.104013590704058e-09,0.0014819223297057845,0.0022652924281192084,0.5129920548146956
moderate + fractional,EXP_enacted_protection_moderate,0.0019823977916695683,0.0019145114474209694,0.3004546816916106,0.01688426823512947,0.002818946717137446,2.104013590704058e-09,0.0014819223297057845,0.0022652924281192084,0.5129920548146956
broad enacted,EXP_enacted_protection_broad,0.0019823977916695683,0.0019145114474209694,0.3004546816916106,0.01688426823512947,0.002818946717137446,2.104013590704058e-09,0.0014819223297057845,0.0022652924281192084,0.5129920548146956
