feature,mode,mean_end_minus_begin,median_end_minus_begin,share_books_rising,n_books
RADWAY_I,main_secondary,-0.004308446977631853,-0.0041258969259731215,0.437,16000
RADWAY_II,main_secondary,-0.0015527475678826762,-0.00142704077303632,0.4736875,16000
RADWAY_III,main_secondary,0.017885393180445717,0.015898922225505808,0.7301875,16000
