feature,cliffs_delta,ci_low,ci_high,ci_excludes_zero,magnitude,mean_a,mean_b,median_a,median_b,hodges_lehmann_shift,n_a,n_b
RADWAY_I__end_minus_begin,-0.05939200117897947,-0.08052812953015188,-0.03845429028866757,True,negligible,-0.0058340582780862845,-0.003097005357842015,-0.005743876172408374,-0.0028311476897699833,-0.0026991059679508933,5086,5390
RADWAY_III__end_minus_begin,-0.055938196963982056,-0.07809469791205366,-0.03269566608325668,True,negligible,0.015805195887610764,0.0193734246362174,0.014390755357759397,0.017077792628364008,-0.0029167269733264764,5086,5390
RADWAY_II__end_minus_begin,-0.03032880831880891,-0.051643736088079095,-0.0075688637804530254,True,negligible,-0.002300177325061405,-0.0006035026938527865,-0.001734331642623363,-0.0007830325838154018,-0.001172364549042973,5086,5390
radway_phase_arc_index,-0.00020821827461903197,-0.022108506416902013,0.02148485018717028,False,negligible,0.021639254165697046,0.022470429994059408,0.020209400740135275,0.01957438420849479,-9.99050290936554e-05,5086,5390
