feature,tertile,mean,median,sd,n
RADWAY_I,begin,0.23843227045353504,0.23832878900382487,0.045953073785840313,16000
RADWAY_I,end,0.23416772992526416,0.2329295154185022,0.04431958266299223,15997
RADWAY_I,middle,0.23708774870108776,0.23607843137254902,0.04458661658323348,15997
RADWAY_II,begin,0.1801292504978231,0.1766835949135548,0.03453928678618994,16000
RADWAY_II,end,0.17860999230349733,0.1751923947487551,0.033890109500519856,15997
RADWAY_II,middle,0.18468726192285026,0.1808188021228203,0.03523185304429064,15997
RADWAY_III,begin,0.08592824334831003,0.0774672319701761,0.040016299547888816,16000
RADWAY_III,end,0.1038331052359875,0.09725016767270288,0.04182014276718441,15997
RADWAY_III,middle,0.10350122481349763,0.09634476534296028,0.04477050411992766,15997
